Site_Code,Site_Name,Unit_Code,lng,lat
GRTEJLDI,Jackson Lake Dollar Island,GRTE,-110.6656,43.87085
GRTELOBE,Lower Berry Cabin,GRTE,-110.70689,43.99956
GRTEMWR1,Moose Wilson Road,GRTE,-110.76908,43.63567
GRTEGVCE,Gros Ventre Campground,GRTE,-110.65372,43.62244
GRTEJHAL,Jackson Hole Airport Lek,GRTE,-110.733204,43.616516
GRTEGRTE,Grand Teton Summit,GRTE,-110.80237,43.74125
GRTEMOPO,Moose Pond,GRTE,-110.73948,43.75047
GRTEPHWE,Potholes West,GRTE,-110.63428,43.80864
GRTEPLJR,Phelps Lake Jump Rock,GRTE,-110.79354,43.64905
YELLBEC1,Bechler,YELL,-111.02231,44.132
YELLFOPP,Fountain Paint Pots,YELL,-110.80659,44.55047
YELLGVLL,Grant Village Lewis Lake,YELL,-110.5,44.3
YELLMBDM,Middle Barronette Meadow,YELL,-110.07675,44.95032
YELLMJ23,Madison Junction,YELL,-110.8,44.6
YELLOFWS,Old Faithful Weather Station,YELL,-110.8,44.4
